Security Code,Company_Name,Security Id,Security Name,Status,,,
500002,ABB India Limited,ABB,ABB India Limited,Active,,,
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,,,
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,,,
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,,,
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,,,
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,,,
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,,,
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,,,
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,,,
500027,Atul Limited.,ATUL,ATUL LTD.,Active,,,
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,,,
500031,Bajaj Electricals Ltd.,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,,,
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,,,
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,,,
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,,,
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,,,
500040,Century Textiles & Industries Ltd.,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,,,
500041,Bannari Amman Sugars Ltd.,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,,,
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,,,
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,,,
500048,BEML Ltd,BEML,BEML LTD.,Active,,,
500049,Bharat Electronics Ltd.,BEL,BHARAT ELECTRONICS LTD.,Active,,,
