Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Pharmaceuticals,55.8,0.9,4.9,13.1,-3.5,0
Infrastructure,16.9,0.4,2.11,-9.5,24.7,1
Real Estate,80.6,4.4,3.29,-4.1,15.7,0
Metals and Mining,28.1,2.7,0.81,29,25.4,1
Financial Services,57.9,1.2,1.33,-8.4,1,0
Banking,31,10.1,3.7,17.9,16.8,0
Energy,73.7,0.8,0.32,22.3,20.2,1
Information Technology,29.9,12.7,0.71,22.7,19,1
Pharmaceuticals,61.5,12.8,2.33,37.4,-3.9,0
Pharmaceuticals,54.3,10.5,1.06,-9.1,-3.6,0
Automobiles,18.2,9.4,1.2,16.6,5.6,1
Consumer Services,11,6.3,1.18,26.6,24.3,1
Consumer Services,48.1,12.4,0.64,-3.5,25.9,0
Automobiles,68,12.4,3.4,37.5,28,0
Telecommunications,26.5,11.1,5.76,21.3,8.9,1
Real Estate,8,6.8,4.2,8.2,-0.4,0
Real Estate,41.7,0.7,4.37,17.5,16.2,1
Information Technology,74,0.1,2.44,43.2,-3.2,0
Telecommunications,48.3,12.8,0.19,-1.8,0.1,0
Energy,18.3,2.7,2.17,29.6,10.5,1
Consumer Services,7.1,3.5,0.85,33.4,23,1
Consumer Goods,85.5,20.6,2.73,26.2,-3.4,0
Infrastructure,80.6,9,0.89,9,7.2,0
Metals and Mining,46.8,3.7,0.19,17.5,28.4,1
Information Technology,36.6,3.8,0.91,38.2,7.4,1
Information Technology,16.4,13.1,1.85,13.9,14.6,0
Energy,47.1,0.5,5.34,36.1,9.1,0
Information Technology,66.8,14.6,2.79,-2,2.5,0
Real Estate,76.5,4,5.7,24.2,22.6,0
Pharmaceuticals,37.8,1.3,0.27,-3.6,29.9,1
Consumer Services,43.8,9.4,2.51,19.5,6.3,0
Real Estate,9.7,13.9,3.07,13.4,-4.4,0
Consumer Goods,80.9,5.5,1.5,34.2,33.3,1
Consumer Goods,77.2,6.8,2.66,45.2,34.8,1
Automobiles,53,1.3,0.74,33.4,7.5,1
Textiles,52.4,13.7,0.4,36.2,20.1,1
Consumer Goods,19.6,18.2,1.55,41.4,33.9,1
Pharmaceuticals,24.4,15,4.06,14.9,18.5,0
Banking,23.4,10.4,5.11,5.1,26.4,0
Telecommunications,23.1,0.8,1.36,34.6,23.6,1
Pharmaceuticals,14.6,11.2,3.2,25.5,24.9,1
Information Technology,82.7,10.4,1.68,-3.1,-3.3,0
Information Technology,89,6.4,1.73,26.3,6.6,0
Telecommunications,85.6,14.3,1.18,36.6,-4.3,0
Financial Services,37.4,4.5,4.27,1.7,29.4,0
Pharmaceuticals,4.7,4.8,0.71,39.7,5.1,1
Infrastructure,68.2,6.9,1.42,11.4,28.7,0
Energy,34.1,2.9,2.89,20,23.8,0
Energy,7.1,8.8,0.05,-7.9,26.9,1
Real Estate,36.9,13.9,4.74,4.6,19.2,0
Consumer Services,57.2,2.4,0.53,28.6,29.3,1
Infrastructure,71.5,1.2,4.01,-1.8,-0.5,0
Information Technology,68.9,5.1,3.78,-5.2,16.5,0
Textiles,16.6,2.1,1.42,29.3,10.9,1
Information Technology,19.1,6.6,2.23,-8.1,7.7,0
Infrastructure,5.4,0.2,3.52,27.1,29.2,1
Financial Services,45.9,13.4,0.75,16.5,-4.8,0
Real Estate,17.3,4.7,3.45,17.4,2.6,0
Consumer Services,18.4,6.4,1.91,31.7,29.9,1
Consumer Services,85.7,14.2,4.18,39.3,12.1,0
Metals and Mining,4.7,11.2,0.12,35.8,27.6,1
Textiles,37.4,14,1.49,15.6,5.7,0
